customer_id,name,city,loyalty_tier,snapshot_date
1,Customer 1,Toronto,platinum,2025-01-01
2,Customer 2,Toronto,bronze,2025-01-01
3,Customer 3,Victoria,bronze,2025-01-01
4,Customer 4,Halifax,platinum,2025-01-01
5,Customer 5,Victoria,bronze,2025-01-01
6,Customer 6,Halifax,platinum,2025-01-01
7,Customer 7,Toronto,bronze,2025-01-01
8,Customer 8,Victoria,bronze,2025-01-01
9,Customer 9,Montreal,platinum,2025-01-01
10,Customer 10,Ottawa,silver,2025-01-01
11,Customer 11,Toronto,platinum,2025-01-01
12,Customer 12,Halifax,bronze,2025-01-01
13,Customer 13,Toronto,gold,2025-01-01
14,Customer 14,Halifax,bronze,2025-01-01
15,Customer 15,Montreal,silver,2025-01-01
16,Customer 16,Vancouver,gold,2025-01-01
17,Customer 17,Vancouver,bronze,2025-01-01
18,Customer 18,Victoria,silver,2025-01-01
19,Customer 19,Montreal,gold,2025-01-01
20,Customer 20,Vancouver,silver,2025-01-01
21,Customer 21,Montreal,bronze,2025-01-01
22,Customer 22,Ottawa,silver,2025-01-01
23,Customer 23,Ottawa,bronze,2025-01-01
24,Customer 24,Victoria,gold,2025-01-01
25,Customer 25,Toronto,gold,2025-01-01
26,Customer 26,Victoria,gold,2025-01-01
27,Customer 27,Halifax,bronze,2025-01-01
28,Customer 28,Halifax,gold,2025-01-01
29,Customer 29,Vancouver,silver,2025-01-01
30,Customer 30,Calgary,gold,2025-01-01
31,Customer 31,Victoria,platinum,2025-01-01
32,Customer 32,Vancouver,gold,2025-01-01
33,Customer 33,Vancouver,gold,2025-01-01
34,Customer 34,Ottawa,gold,2025-01-01
35,Customer 35,Halifax,bronze,2025-01-01
36,Customer 36,Vancouver,silver,2025-01-01
37,Customer 37,Calgary,gold,2025-01-01
38,Customer 38,Toronto,platinum,2025-01-01
39,Customer 39,Vancouver,platinum,2025-01-01
40,Customer 40,Vancouver,bronze,2025-01-01
41,Customer 41,Montreal,bronze,2025-01-01
42,Customer 42,Vancouver,gold,2025-01-01
43,Customer 43,Toronto,silver,2025-01-01
44,Customer 44,Ottawa,gold,2025-01-01
45,Customer 45,Halifax,platinum,2025-01-01
46,Customer 46,Halifax,silver,2025-01-01
47,Customer 47,Ottawa,gold,2025-01-01
48,Customer 48,Ottawa,gold,2025-01-01
49,Customer 49,Montreal,bronze,2025-01-01
50,Customer 50,Vancouver,gold,2025-01-01
51,Customer 51,Toronto,platinum,2025-01-01
52,Customer 52,Ottawa,platinum,2025-01-01
53,Customer 53,Halifax,bronze,2025-01-01
54,Customer 54,Halifax,bronze,2025-01-01
55,Customer 55,Vancouver,silver,2025-01-01
56,Customer 56,Ottawa,platinum,2025-01-01
57,Customer 57,Halifax,platinum,2025-01-01
58,Customer 58,Toronto,platinum,2025-01-01
59,Customer 59,Montreal,silver,2025-01-01
60,Customer 60,Halifax,bronze,2025-01-01
61,Customer 61,Calgary,gold,2025-01-01
62,Customer 62,Ottawa,silver,2025-01-01
63,Customer 63,Calgary,silver,2025-01-01
64,Customer 64,Ottawa,bronze,2025-01-01
65,Customer 65,Toronto,silver,2025-01-01
66,Customer 66,Halifax,gold,2025-01-01
67,Customer 67,Victoria,platinum,2025-01-01
68,Customer 68,Calgary,platinum,2025-01-01
69,Customer 69,Montreal,gold,2025-01-01
70,Customer 70,Calgary,bronze,2025-01-01
71,Customer 71,Calgary,platinum,2025-01-01
72,Customer 72,Calgary,silver,2025-01-01
73,Customer 73,Vancouver,silver,2025-01-01
74,Customer 74,Montreal,bronze,2025-01-01
75,Customer 75,Victoria,silver,2025-01-01
76,Customer 76,Victoria,silver,2025-01-01
77,Customer 77,Calgary,platinum,2025-01-01
78,Customer 78,Calgary,bronze,2025-01-01
79,Customer 79,Ottawa,gold,2025-01-01
80,Customer 80,Calgary,silver,2025-01-01
